"cityName","dataClean$text","minDate","maxDate","tweetCount"
"adana"," !!!acil!!! son alınan bilgi saatlerdir yardım yok!!! göçük altında sesler geliyor yardım yokk akevler mah bediisabuncu o…",2023-02-06 11:37:18,2023-02-06 11:42:02,3
"adana"," #adana adana yurt mahallesi 71477 sokak zeray apt. enkaz altında yardım bekleyen var. ",2023-02-06 11:37:53,2023-02-06 11:37:53,1
"adana"," #deprem #adanadeprem #afad #çukurovabelediyesi adana huzurevleri mahallesi pazar yerinde lütfen acil yardım yıkılan binada g…",2023-02-06 09:05:48,2023-02-06 09:05:48,1
"adana"," #deprem canlı yayında adana’da bir baba çöken 14 katlı binanın etrafında oğlunun elbiselerini buldu. umarım sağ kurtulur diy…",2023-02-06 11:38:36,2023-02-06 11:45:31,2
"adana"," #deprem şuan yeni bir mesaj geldi konum maraş acill yardım talebi lütfen elden ele ulaştıralım… #kahramanmaras #adana #v…",2023-02-06 09:02:57,2023-02-06 09:02:57,1
"adana"," #enkazaltındayım adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin arkadaşımdan mesaji attiktan sonra…",2023-02-06 09:00:21,2023-02-06 11:45:54,28
"adana"," #sondakika adana büyükşehir belediyesi’nin karşısındaki seçkinler apartmanı’nda enkaz altında kalanlar var! henüz ulaşan…",2023-02-06 09:07:20,2023-02-06 09:12:32,2
"adana"," #sondakika adana da yasiyoruz. spli kızım ile birlikte 4 kişilik aileyiz. binamızda kolon catlagi var araç içinde şuan güv…",2023-02-06 11:33:27,2023-02-06 11:46:57,18
"adana"," #yardım #deprem #adana #afad #adanadeprem adana çukurova barış manço bulvarı şok marketin üstü. asrın türkmenoğlu aydane…",2023-02-06 09:00:25,2023-02-06 09:11:58,2
"adana"," #yardım #deprem #adana #afad #adanadeprem adana çukurova barış manço bulvarı şok marketin üstü. asrın türkmenoğlu aydaner tü…",2023-02-06 09:02:46,2023-02-06 09:02:46,1
"adana"," 1.yardim çagrisi yayalim arkadaşlar lütfen 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray ap…",2023-02-06 09:06:22,2023-02-06 11:36:52,3
"adana"," 2.yardim cagirisi #adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin",2023-02-06 09:07:30,2023-02-06 11:43:04,3
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin",2023-02-06 08:59:44,2023-02-06 11:46:59,42
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin acill yardimm ",2023-02-06 09:01:24,2023-02-06 09:03:33,2
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin yayalim arkadaşlar lü…",2023-02-06 11:36:46,2023-02-06 11:42:44,2
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin yayalim arkadaşlar lüt…",2023-02-06 09:00:08,2023-02-06 09:10:37,5
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin yayalim arkadaşlar lütf…",2023-02-06 09:01:33,2023-02-06 11:38:36,13
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin yayalim arkadaşlar lütfe…",2023-02-06 09:00:20,2023-02-06 11:45:48,14
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin yayalim arkadaşlar lütfen …",2023-02-06 08:59:43,2023-02-06 11:40:59,28
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım edin yayalim arkadaşlar lütfen…",2023-02-06 08:59:54,2023-02-06 11:44:32,50
"adana"," 2.yardim cagirisi adana yurt mahallesi 71477 sokak zeray apt 6.kat lütfen yardım ediniz yayalim arkadaşlar lütf…",2023-02-06 09:03:10,2023-02-06 09:09:43,4
"adana"," 71477 sokak zeray apartmanı. çukurova/adana lütfen yardım edin. b blok yıkıldı. lütfen acil yardım #deprem #yardım ",2023-02-06 08:59:55,2023-02-06 11:32:34,7
"adana"," 8.yardım çağrisi cumhuriyet mahallesi adana menderes caddesi madanoğlu apartmanı no:09 kat:03 daire:14 31040 ..hata…",2023-02-06 09:03:16,2023-02-06 09:06:42,4
"adana"," 8.yardım çağrisi cumhuriyet mahallesi adana menderes caddesi madanoğlu apartmanı no:09 kat:03 daire:14 31040 ha…",2023-02-06 08:59:51,2023-02-06 11:45:53,17
"adana"," 8.yardım çağrisi cumhuriyet mahallesi adana menderes caddesi madanoğlu apartmanı no:09 kat:03 daire:14 31040 hat…",2023-02-06 09:00:59,2023-02-06 11:45:49,8
"adana"," 8.yardım çağrisi cumhuriyet mahallesi adana menderes caddesi madanoğlu apartmanı no:09 kat:03 daire:14 31040 hata…",2023-02-06 09:00:13,2023-02-06 11:43:38,16
"adana"," 8.yardım çağrisi cumhuriyet mahallesi adana menderes caddesi madanoğlu apartmanı no:09 kat:03… ",2023-02-06 09:06:45,2023-02-06 09:06:45,1
